subject,quadro_rectus_femoris_beginning,quadro_rectus_femoris_end,quadro_vastus_m_beginning,quadro_vastus_m_end,quadro_vastus_l_beginning,quadro_vastus_l_end,bicep_femoris_beginning,bicep_femoris_end
1,149.41,195.8,85.45,124.51,92.77,127.93,97.66,148.44
2,110.35,150.39,111.33,128.42,103.03,116.21,92.77,148.44
3,106.45,126.95,114.26,133.3,89.36,112.3,134.28,132.32
4,109.38,204.59,104,128.42,93.26,107.42,146.97,145.51
7,98.14,130.37,98.14,110.35,94.73,113.28,115.23,134.77
8,105.96,169.92,103.03,122.07,125.98,128.42,127.44,142.58
9,120.12,161.13,88.87,111.82,121.09,134.77,160.16,125.98
10,120.12,134.77,103.03,108.89,321.29,88.38,116.21,138.67
11,133.3,134.28,109.86,99.61,66.41,316.41,112.79,124.02
12,143.55,175.29,127.44,115.23,104.49,353.52,167.48,166.99
13,142.09,155.27,112.79,124.02,125.49,132.81,133.79,121.58
14,97.66,157.23,86.43,94.73,98.63,121.58,155.76,166.5
15,131.35,147.95,90.82,93.26,95.7,102.54,145.02,135.74
17,111.82,124.51,104.49,114.26,95.7,111.33,127.93,147.46
18,120.12,137.7,94.24,104.49,101.56,105.47,141.6,122.56
19,83.98,124.02,86.43,110.84,84.96,107.42,111.82,146.48
20,72.75,97.17,66.41,87.89,72.27,94.24,96.19,118.65
21,104,154.3,109.86,143.55,158.2,208.01,179.69,208.98
22,110.84,119.63,83.98,91.31,98.63,107.42,120.12,160.16
23,83.01,201.17,86.43,135.74,41.02,331.54,116.21,184.57
24,127.44,3.42,110.35,139.65,96.68,119.63,131.84,135.25
